place_id,place_name,reachable_status,total_appearances,card1_appearances,card2_appearances,card3_appearances,primaryTheme_coverage,purpose_coverage,transport_coverage,season_coverage,departure_coverage,first_trigger_condition,best_trigger_condition,max_score,best_rank,blocked_stage,blocked_reason,recommended_fix
GOAT-001,제이드가든,REACHABLE,2796,1800,136,860,건축·전시·랜드마크 무드|레트로·시장·항구 무드|바다·해안 무드|숲·정원·자연휴식 무드|알프스·고원·목장 무드|일본 소도시·골목 무드|휴양·카페·이국공간 무드,먹거리·야간탐방|사진·포토스팟|산책·힐링|숙소·리조트|전시·건축관람|체험·액티비티|카페·실내휴식,대중교통|도보중심|자차,가을|겨울|봄|여름,chuncheon|gangneung|none|pyeongchang|seoul|sokcho|wonju,"{""referenceCardId"":""REF_SEA_02"",""primaryTheme"":""바다·해안 무드"",""moodTags"":[""로드트립감성"",""청량함"",""자유로움"",""낭만적""],""sceneTags"":[""바다"",""해안도로"",""해변"",""서핑""],""travelPurpose"":""산책·힐링"",""transportType"":""자차"",""companionType"":""혼자"",""season"":""봄"",""currentDate"":""2026-05-20"",""departure"":""chuncheon"",""exposureState"":""none"",""retry"":true}","{""referenceCardId"":""REF_NATURE_01"",""primaryTheme"":""숲·정원·자연휴식 무드"",""moodTags"":[""북유럽감성"",""자연친화"",""조용함"",""힐링""],""sceneTags"":[""숲"",""산책로"",""산""],""travelPurpose"":""사진·포토스팟"",""transportType"":""도보중심"",""companionType"":""혼자"",""season"":""가을"",""currentDate"":""2026-10-20"",""departure"":""chuncheon"",""exposureState"":""none"",""retry"":false}",93,1,,,
GOAT-002,레고랜드 코리아 리조트,REACHABLE,4532,1552,1304,1676,건축·전시·랜드마크 무드|레트로·시장·항구 무드|바다·해안 무드|숲·정원·자연휴식 무드|알프스·고원·목장 무드|일본 소도시·골목 무드|휴양·카페·이국공간 무드,먹거리·야간탐방|사진·포토스팟|산책·힐링|숙소·리조트|전시·건축관람|체험·액티비티|카페·실내휴식,대중교통|도보중심|자차,가을|겨울|봄|여름,chuncheon|gangneung|none|pyeongchang|seoul|sokcho|wonju,"{""referenceCardId"":""REF_SEA_02"",""primaryTheme"":""바다·해안 무드"",""moodTags"":[""로드트립감성"",""청량함"",""자유로움"",""낭만적""],""sceneTags"":[""바다"",""해안도로"",""해변"",""서핑""],""travelPurpose"":""체험·액티비티"",""transportType"":""자차"",""companionType"":""혼자"",""season"":""봄"",""currentDate"":""2026-05-20"",""departure"":""none"",""exposureState"":""none"",""retry"":true}","{""referenceCardId"":""REF_ARCH_01"",""primaryTheme"":""건축·전시·랜드마크 무드"",""moodTags"":[""예술적"",""미니멀"",""건축미"",""현대적""],""sceneTags"":[""미술관"",""건축"",""정원""],""travelPurpose"":""사진·포토스팟"",""transportType"":""자차"",""companionType"":""혼자"",""season"":""봄"",""currentDate"":""2026-05-20"",""departure"":""chuncheon"",""exposureState"":""none"",""retry"":false}",92,1,,,
GOAT-003,춘천 산토리니,REACHABLE,2492,0,924,1568,건축·전시·랜드마크 무드|레트로·시장·항구 무드|바다·해안 무드|숲·정원·자연휴식 무드|알프스·고원·목장 무드|일본 소도시·골목 무드|휴양·카페·이국공간 무드,먹거리·야간탐방|사진·포토스팟|산책·힐링|전시·건축관람|체험·액티비티|카페·실내휴식,대중교통|도보중심|자차,가을|겨울|봄|여름,chuncheon|gangneung|none|pyeongchang|seoul|sokcho|wonju,"{""referenceCardId"":""REF_SEA_02"",""primaryTheme"":""바다·해안 무드"",""moodTags"":[""로드트립감성"",""청량함"",""자유로움"",""낭만적""],""sceneTags"":[""바다"",""해안도로"",""해변"",""서핑""],""travelPurpose"":""카페·실내휴식"",""transportType"":""자차"",""companionType"":""혼자"",""season"":""봄"",""currentDate"":""2026-05-20"",""departure"":""none"",""exposureState"":""none"",""retry"":false}","{""referenceCardId"":""REF_RESORT_02"",""primaryTheme"":""휴양·카페·이국공간 무드"",""moodTags"":[""발리감성"",""휴양감"",""프라이빗"",""아늑함""],""sceneTags"":[""카페"",""해변"",""실내공간""],""travelPurpose"":""사진·포토스팟"",""transportType"":""자차"",""companionType"":""혼자"",""season"":""여름"",""currentDate"":""2026-07-20"",""departure"":""chuncheon"",""exposureState"":""recent"",""retry"":false}",90,2,,,
GOAT-004,해피초원목장,REACHABLE,2916,2272,400,244,숲·정원·자연휴식 무드|알프스·고원·목장 무드,먹거리·야간탐방|사진·포토스팟|산책·힐링|숙소·리조트|전시·건축관람|체험·액티비티|카페·실내휴식,대중교통|도보중심|자차,가을|겨울|봄|여름,chuncheon|gangneung|none|pyeongchang|seoul|sokcho|wonju,"{""referenceCardId"":""REF_ALPS_01"",""primaryTheme"":""알프스·고원·목장 무드"",""moodTags"":[""알프스감성"",""자연친화"",""청량함"",""탁트임""],""sceneTags"":[""목장"",""초원"",""동물"",""산""],""travelPurpose"":""사진·포토스팟"",""transportType"":""자차"",""companionType"":""혼자"",""season"":""가을"",""currentDate"":""2026-10-20"",""departure"":""none"",""exposureState"":""none"",""retry"":true}","{""referenceCardId"":""REF_ALPS_01"",""primaryTheme"":""알프스·고원·목장 무드"",""moodTags"":[""알프스감성"",""자연친화"",""청량함"",""탁트임""],""sceneTags"":[""목장"",""초원"",""동물"",""산""],""travelPurpose"":""산책·힐링"",""transportType"":""자차"",""companionType"":""혼자"",""season"":""가을"",""currentDate"":""2026-10-20"",""departure"":""chuncheon"",""exposureState"":""none"",""retry"":false}",94,1,,,
GOAT-005,아웃오브파크,REACHABLE,2856,1128,1104,624,건축·전시·랜드마크 무드|레트로·시장·항구 무드|바다·해안 무드|알프스·고원·목장 무드|휴양·카페·이국공간 무드,먹거리·야간탐방|사진·포토스팟|산책·힐링|숙소·리조트|전시·건축관람|체험·액티비티|카페·실내휴식,대중교통|도보중심|자차,가을|겨울|봄|여름,chuncheon|gangneung|none|pyeongchang|seoul|sokcho|wonju,"{""referenceCardId"":""REF_SEA_02"",""primaryTheme"":""바다·해안 무드"",""moodTags"":[""로드트립감성"",""청량함"",""자유로움"",""낭만적""],""sceneTags"":[""바다"",""해안도로"",""해변"",""서핑""],""travelPurpose"":""숙소·리조트"",""transportType"":""자차"",""companionType"":""혼자"",""season"":""봄"",""currentDate"":""2026-05-20"",""departure"":""none"",""exposureState"":""none"",""retry"":false}","{""referenceCardId"":""REF_RETRO_01"",""primaryTheme"":""레트로·시장·항구 무드"",""moodTags"":[""레트로"",""로컬감성"",""활기"",""빈티지""],""sceneTags"":[""항구"",""시장"",""야간거리""],""travelPurpose"":""사진·포토스팟"",""transportType"":""자차"",""companionType"":""혼자"",""season"":""봄"",""currentDate"":""2026-05-20"",""departure"":""chuncheon"",""exposureState"":""none"",""retry"":false}",84,1,,,
GOAT-006,교토정원,REACHABLE,1944,0,64,1880,건축·전시·랜드마크 무드|레트로·시장·항구 무드|바다·해안 무드|숲·정원·자연휴식 무드|알프스·고원·목장 무드|일본 소도시·골목 무드|휴양·카페·이국공간 무드,먹거리·야간탐방|산책·힐링|카페·실내휴식,대중교통|도보중심|자차,가을|겨울|봄|여름,chuncheon|gangneung|none|pyeongchang|seoul|sokcho|wonju,"{""referenceCardId"":""REF_SEA_02"",""primaryTheme"":""바다·해안 무드"",""moodTags"":[""로드트립감성"",""청량함"",""자유로움"",""낭만적""],""sceneTags"":[""바다"",""해안도로"",""해변"",""서핑""],""travelPurpose"":""카페·실내휴식"",""transportType"":""자차"",""companionType"":""혼자"",""season"":""봄"",""currentDate"":""2026-05-20"",""departure"":""none"",""exposureState"":""none"",""retry"":true}","{""referenceCardId"":""REF_JP_02"",""primaryTheme"":""일본 소도시·골목 무드"",""moodTags"":[""가마쿠라감성"",""애니메이션감성"",""일본소도시감성"",""청량함""],""sceneTags"":[""바다"",""해변"",""철길""],""travelPurpose"":""산책·힐링"",""transportType"":""자차"",""companionType"":""혼자"",""season"":""봄"",""currentDate"":""2026-05-20"",""departure"":""chuncheon"",""exposureState"":""recent"",""retry"":false}",79,2,,,
GOAT-007,스테이 조각밤,REACHABLE,624,0,0,624,건축·전시·랜드마크 무드|레트로·시장·항구 무드|숲·정원·자연휴식 무드|일본 소도시·골목 무드,숙소·리조트,대중교통|도보중심|자차,가을|겨울|봄|여름,chuncheon|gangneung|none|pyeongchang|seoul|sokcho|wonju,"{""referenceCardId"":""REF_JP_02"",""primaryTheme"":""일본 소도시·골목 무드"",""moodTags"":[""가마쿠라감성"",""애니메이션감성"",""일본소도시감성"",""청량함""],""sceneTags"":[""바다"",""해변"",""철길""],""travelPurpose"":""숙소·리조트"",""transportType"":""자차"",""companionType"":""혼자"",""season"":""봄"",""currentDate"":""2026-05-20"",""departure"":""none"",""exposureState"":""none"",""retry"":false}","{""referenceCardId"":""REF_JP_02"",""primaryTheme"":""일본 소도시·골목 무드"",""moodTags"":[""가마쿠라감성"",""애니메이션감성"",""일본소도시감성"",""청량함""],""sceneTags"":[""바다"",""해변"",""철길""],""travelPurpose"":""숙소·리조트"",""transportType"":""도보중심"",""companionType"":""혼자"",""season"":""봄"",""currentDate"":""2026-05-20"",""departure"":""chuncheon"",""exposureState"":""recent"",""retry"":true}",70,3,,,
GOAT-008,이와림,REACHABLE,332,0,48,284,건축·전시·랜드마크 무드|레트로·시장·항구 무드|숲·정원·자연휴식 무드|알프스·고원·목장 무드|일본 소도시·골목 무드,숙소·리조트,대중교통|도보중심|자차,가을|겨울|봄|여름,chuncheon|gangneung|none|pyeongchang|seoul|sokcho|wonju,"{""referenceCardId"":""REF_JP_02"",""primaryTheme"":""일본 소도시·골목 무드"",""moodTags"":[""가마쿠라감성"",""애니메이션감성"",""일본소도시감성"",""청량함""],""sceneTags"":[""바다"",""해변"",""철길""],""travelPurpose"":""숙소·리조트"",""transportType"":""자차"",""companionType"":""혼자"",""season"":""봄"",""currentDate"":""2026-05-20"",""departure"":""none"",""exposureState"":""none"",""retry"":true}","{""referenceCardId"":""REF_JP_02"",""primaryTheme"":""일본 소도시·골목 무드"",""moodTags"":[""가마쿠라감성"",""애니메이션감성"",""일본소도시감성"",""청량함""],""sceneTags"":[""바다"",""해변"",""철길""],""travelPurpose"":""숙소·리조트"",""transportType"":""자차"",""companionType"":""혼자"",""season"":""봄"",""currentDate"":""2026-05-20"",""departure"":""none"",""exposureState"":""recent"",""retry"":false}",69,2,,,
GOAT-009,뮤지엄 SAN,REACHABLE,4676,1808,1704,1164,건축·전시·랜드마크 무드|레트로·시장·항구 무드|바다·해안 무드|숲·정원·자연휴식 무드|알프스·고원·목장 무드|일본 소도시·골목 무드|휴양·카페·이국공간 무드,먹거리·야간탐방|사진·포토스팟|산책·힐링|숙소·리조트|전시·건축관람|체험·액티비티|카페·실내휴식,대중교통|도보중심|자차,가을|겨울|봄|여름,chuncheon|gangneung|none|pyeongchang|seoul|sokcho|wonju,"{""referenceCardId"":""REF_SEA_02"",""primaryTheme"":""바다·해안 무드"",""moodTags"":[""로드트립감성"",""청량함"",""자유로움"",""낭만적""],""sceneTags"":[""바다"",""해안도로"",""해변"",""서핑""],""travelPurpose"":""전시·건축관람"",""transportType"":""자차"",""companionType"":""혼자"",""season"":""가을"",""currentDate"":""2026-10-20"",""departure"":""none"",""exposureState"":""none"",""retry"":false}","{""referenceCardId"":""REF_ARCH_01"",""primaryTheme"":""건축·전시·랜드마크 무드"",""moodTags"":[""예술적"",""미니멀"",""건축미"",""현대적""],""sceneTags"":[""미술관"",""건축"",""정원""],""travelPurpose"":""사진·포토스팟"",""transportType"":""대중교통"",""companionType"":""혼자"",""season"":""가을"",""currentDate"":""2026-10-20"",""departure"":""wonju"",""exposureState"":""recent"",""retry"":false}",91,1,,,
GOAT-010,소금산 그랜드밸리,REACHABLE,2196,0,1240,956,건축·전시·랜드마크 무드|레트로·시장·항구 무드|바다·해안 무드|숲·정원·자연휴식 무드|알프스·고원·목장 무드|일본 소도시·골목 무드|휴양·카페·이국공간 무드,먹거리·야간탐방|사진·포토스팟|산책·힐링|숙소·리조트|전시·건축관람|체험·액티비티|카페·실내휴식,대중교통|도보중심|자차,가을|겨울|봄|여름,chuncheon|gangneung|none|pyeongchang|seoul|sokcho|wonju,"{""referenceCardId"":""REF_SEA_02"",""primaryTheme"":""바다·해안 무드"",""moodTags"":[""로드트립감성"",""청량함"",""자유로움"",""낭만적""],""sceneTags"":[""바다"",""해안도로"",""해변"",""서핑""],""travelPurpose"":""체험·액티비티"",""transportType"":""자차"",""companionType"":""혼자"",""season"":""가을"",""currentDate"":""2026-10-20"",""departure"":""wonju"",""exposureState"":""none"",""retry"":true}","{""referenceCardId"":""REF_ARCH_01"",""primaryTheme"":""건축·전시·랜드마크 무드"",""moodTags"":[""예술적"",""미니멀"",""건축미"",""현대적""],""sceneTags"":[""미술관"",""건축"",""정원""],""travelPurpose"":""사진·포토스팟"",""transportType"":""자차"",""companionType"":""혼자"",""season"":""가을"",""currentDate"":""2026-10-20"",""departure"":""wonju"",""exposureState"":""none"",""retry"":false}",91,2,,,
