"place_id","place_name","place_type","photo_point","best_time","season_tags","recommendation_use","note","pub","car"
"GOAT-001","제이드가든","수목원/정원","이탈리안 웨딩가든, 벽돌 게이트, 수로","오전","System.Object[]","사진스팟 추천","공식/위치 검증 후 좌표 입력","중","상"
"GOAT-002","레고랜드 코리아 리조트","테마파크","호텔 파사드, 미니랜드, 입구 광장","오후","System.Object[]","가족·사진스팟 추천","입장권/운영일 확인 필요","상","상"
"GOAT-003","춘천 산토리니","카페/전망공간","흰 종탑, 잔디마당, 춘천 시가지 전망","저녁","System.Object[]","해외감성 사진스팟","카페 운영 여부 확인 필요","중","상"
"GOAT-004","해피초원목장","목장/초원","초원 능선, 동물 방목, 목장길","오전","System.Object[]","목장형 코스 추천","평창 대관령 목장권역과 별도 장소로 관리","하","중"
"GOAT-005","아웃오브파크","카라반/숙박","에어스트림 카라반, 옐로우 스쿨버스, 영문 사인","저녁","System.Object[]","숙박·포토존 추천","숙박시설 성격 강함","하","상"
"GOAT-006","교토정원","카페/정원","일본식 정원, 원목 인테리어, 다다미 공간","오후","System.Object[]","카페·감성공간 추천","상업시설로 운영상태 확인 필요","중","상"
"GOAT-007","스테이 조각밤","숙소","프라이빗 자쿠지, 수공간, 다도 세트","저녁","System.Object[]","숙소 추천","이와림과 분리 저장","하","상"
"GOAT-008","이와림","숙소","프라이빗 자쿠지, 수공간, 다도 세트","저녁","System.Object[]","숙소 추천","스테이 조각밤과 분리 저장","하","상"
"GOAT-009","뮤지엄 SAN","미술관/건축","워터가든, 콘크리트 동선, 조각정원","오후","System.Object[]","건축·사진스팟 추천","입장권 확인 필요","하","상"
"GOAT-010","소금산 그랜드밸리","협곡/스카이워크","출렁다리, 울렁다리, 스카이타워","오전","System.Object[]","액티비티·포토스팟 추천","운영·안전 공지 확인 필요","상","상"
"GOAT-011","알파카월드","동물 테마파크","라틴빌리지존, 숲길, 동물 교감 동선","오전","System.Object[]","가족·동물교감 추천","입장권 확인 필요","하","중"
"GOAT-012","원대리 자작나무숲","숲/자연","흰 자작나무 숲길, 반복되는 수간 원근감","오전","System.Object[]","숲길·겨울 코스 추천","계절·입산 통제 확인 필요","하","중"
"GOAT-013","인제성당","건축/종교시설","서양식 성당 외관, 조용한 마을 분위기","오전","System.Object[]","조용한 감성스팟 추천","종교시설 예절 안내 필요","상","상"
"GOAT-014","알펜시아 리조트","리조트","리조트 광장, 유럽풍 동선, 스키점프대","저녁","System.Object[]","겨울 리조트 코스 추천","숙박/방문 목적 구분 필요","중","상"
"GOAT-015","육백마지기","고원/풍력발전","풍력발전기, 샤스타데이지, 고원 능선","새벽","System.Object[]","새벽·고원 포토스팟 추천","도로·기상 확인 필요","하","하"
"GOAT-016","대관령양떼목장","목장/초원","울타리 초원, 양떼, 능선 조망","오전","System.Object[]","목장 코스 추천","목장권역 중 개별 장소","중","상"
"GOAT-017","하늘목장","목장/초원","목장길, 초원 사면, 동물 방목","오전","System.Object[]","목장 코스 추천","목장권역 중 개별 장소","하","상"
"GOAT-018","삼양라운드힐","목장/초원","광활한 목장, 풍력발전기, 설원","오전","System.Object[]","목장·설원 코스 추천","구 삼양목장 명칭 포함 검색 필요","하","상"
"GOAT-019","발왕산 천년주목숲길·애니포레","숲/산악","침엽수림 숲길, 고산 전망","오전","System.Object[]","숲길·케이블카 연계 추천","발왕산 케이블카와 연계 가능","중","상"
"GOAT-020","삼탄아트마인","산업유산/미술관","수직갱, 녹슨 설비, 갤러리 공간","오후","System.Object[]","비오는 날 대안 코스 추천","운영일 확인 필요","중","상"
"GOAT-021","민둥산","산/억새","억새 능선, 돌리네 지형, 탁 트인 산세","오후","System.Object[]","가을 트레킹 추천","등산 난이도 정보 필요","상","중"
"GOAT-022","매봉산 바람의 언덕","고원/풍력발전","풍력발전기, 배추밭, 능선도로","새벽","System.Object[]","일출·고원 포토스팟 추천","도로 통제·기상 확인 필요","하","중"
